===== seg01 | Exhibit header and initial definitions | range s000001–s000049 | score=0.5 =====
Rationale: Introduces key pricing terms (Applicable Margin, Base Rate, Benchmark) and framework definitions necessary to interpret the pricing engine, but contains no actual rates, margins, or formula mechanics.
Summary: Introductory exhibit header, signatories, and the opening of definitions surrounding the term loan framework.
Tags: exhibit, header, definitions

⟦s000001⟧ EXHIBIT 4.
⟦s000002⟧ 1
⟦s000003⟧ Execution Version
⟦s000004⟧ TERM LOAN CREDIT AGREEMENT
⟦s000005⟧ Dated as of December 29, 2023
⟦s000006⟧ among
⟦s000007⟧ LANDS’ END, INC. , as the Borrower,
⟦s000008⟧ BLUE TORCH FINANCE LLC, as Administrative Agent and Collateral Agent,
⟦s000009⟧ and
⟦s000010⟧ The Lenders Party Hereto
⟦s000011⟧ |US-DOCS\146917602.
⟦s000012⟧ 19||
⟦s000013⟧ TABLE OF CONTENTS
⟦s000014⟧ Section: Page
⟦s000015⟧ ```markdown
| Article I Definitions and Accounting Terms | Column 2 | Column 3 |
⟦s001062⟧ 5 but may be retained by the applicable Foreign Subsidiary so long, but only so long, as the applicable local law or applicable constituent documents will not permit repatriation to the United States, and, if within one year following the date on which the respective repayment would otherwise have been required, such repatriation of any portion of such affected amount of Excess Cash Flow or Net Proceeds is permissible under the applicable local law or applicable material constituent documents (even if such cash is not actually repatriated at such time), an amount equal to such amount will be promptly (and in any event not later than two Business Days or such longer time period as the Agent may agree) applied (net of costs, expenses or taxes incurred by the Borrower and its Restricted Subsidiaries arising exclusively as a result of compliance with this provision) by the Borrower to the repayment of the Loans pursuant to this Section 2.
⟦s001063⟧ 5 to the extent provided herein and (B) to the extent that the Borrower has determined in good faith, and can so demonstrate to the reasonable satisfaction of the Agent, that repatriation of any portion of Excess Cash Flow would incur a material tax liability (taking into account any foreign tax credit or benefit that is anticipated in connection with such repatriation), the amount of such portion of Excess Cash Flow or Net Proceeds so affected may be retained by the applicable Foreign Subsidiary; provided that, in the case of each of clauses (A) and (B) , (i) the Borrower hereby agrees to use commercially reasonable efforts (x) to overcome or eliminate any such restrictions on repatriation, (y) to minimize or eliminate any such costs or tax liabilities, and (z) to use the other cash resources of the Borrower and its Subsidiaries (subject to this clause (vi)), so that an amount equal to the full amount of such Excess Cash Flow or Net Proceeds will otherwise be subject to repayment under this Section 2.
⟦s001064⟧ 5 to the extent provided herein, (ii) the non-application of any portion of Excess Cash Flow or Net Proceeds amount pursuant to this clause (vi) shall not constitute an Event of Default (and such amounts shall be available for the working capital purposes of the applicable Foreign Subsidiary, in each case, subject to the repayment provisions in this clause (vi)).
⟦s001065⟧ For the avoidance of doubt, it is understood and agreed that (x) the Borrower shall be required to first use all Excess Cash Flow (other than the amounts thereof affected as described in preceding clauses (A) and (B) of this clause (vi)) in order to make the full amount of the mandatory repayment required to be made on the relevant payment date pursuant to Section 2.
⟦s001066⟧ 5(b)(i) before the preceding provisions of this clause (vi) shall apply, and (y) nothing in this clause (vi) shall require the Borrower to cause any amounts to be repatriated to the United States (whether or not such amounts are used in or excluded from the determination of the amount of any mandatory repayments hereunder).
⟦s001067⟧ (ix) Applicable Prepayment Premium .
⟦s001068⟧ Without limiting the generality of Section 2.
⟦s001069⟧ 5 , and notwithstanding anything to the contrary in this Agreement or any other Loan Document, the Loan Parties hereby acknowledge and agree that if the Obligations are accelerated for any reason prior to the fourth anniversary of the Closing Date, including because of an Event of Default (including by operation of law or otherwise), the commencement of any Insolvency Proceeding or other proceeding pursuant to any applicable debtor relief laws, sale, disposition or encumbrance (including that by operation of law or otherwise) or a satisfaction or release by foreclosure (whether by power of judicial proceeding), deed in lieu of foreclosure or by any other means, the Applicable Prepayment Premium, determined as of the date of acceleration will also be due and payable as though said Obligations were voluntarily prepaid as of such date and shall constitute part of the Obligations, in view of the impracticability and extreme difficulty of ascertaining actual damages and by mutual agreement of the parties as to a reasonable calculation of each Lender’s lost profits as a result thereof.
⟦s001070⟧ The Applicable Prepayment Premium payable
⟦s001071⟧ - 58 -
⟦s001072⟧ in accordance with the immediately preceding sentence shall be presumed to be the liquidated damages sustained by each Lender as the result of the early termination and the Loan Parties agree that it is reasonable under the circumstances.
⟦s001073⟧ The Loan Parties expressly agree that: (i) the Applicable Prepayment Premium is reasonable and is the product of an arm’s length transaction between sophisticated business people, ably represented by counsel, (ii) the Applicable Prepayment Premium shall be payable notwithstanding the then prevailing market rates at the time payment is made, (iii) there has been a course of conduct between Lenders and the Loan Parties giving specific consideration in this transaction for such agreement to pay the Applicable Prepayment Premium, and (iv) the Applicable Prepayment Premium represents a good faith, reasonable estimate and calculation of the lost profits or damages of the Lenders and that it would be impractical and extremely difficult to ascertain the actual amount of damages to the Lenders or profits lost by the Lenders as a result of any prepayment, including as a result of any Prepayment Event.
⟦s001074⟧ THE LOAN PARTIES EXPRESSLY WAIVE THE PROVISIONS OF ANY PRESENT OR FUTURE STATUTE OR LAW THAT PROHIBITS OR MAY PROHIBIT THE COLLECTION OF THE APPLICABLE PREPAYMENT PREMIUM IN CONNECTION WITH ANY ACCELERATION OF THE OBLIGATIONS.
⟦s001075⟧ The Loan Parties expressly acknowledge that their respective agreement to pay the Applicable Prepayment Premium as herein described is a material inducement to the Lenders to provide the Commitments hereunder and to make the Loan.
⟦s001076⟧ Furthermore, the Loan Parties acknowledge and agree that the Loan Parties and their respective affiliates shall be estopped hereafter from claiming differently than as agreed to with respect to the Applicable Prepayment Premium and the Loan Parties acknowledge and agree that the Applicable Prepayment Premium is not intended to act as a penalty or to punish the Loan Parties for any action.
⟦s001077⟧ 2.
⟦s001078⟧ 6 Termination or Reduction of Commitments .
⟦s001079⟧ The aggregate Term Loan Commitments shall be automatically and permanently reduced to zero on the Closing Date upon the funding of the Term Loans.
⟦s001080⟧ 2.
⟦s001081⟧ 7 Repayment of Obligations .
⟦s001082⟧ The Borrower shall repay to the Agent for the ratable account of the Lenders (i) on the last Business Day of each Fiscal Quarter, commencing with May 3, 2024, an aggregate principal amount equal to 1.
⟦s001083⟧ 25% of the aggregate principal amount of the Term Loans funded on the Closing Date (which is $260,000,000) and (ii) on the Maturity Date for the Term Loans, the aggregate principal amount of all Term Loans outstanding on such date; provided that payments required by this Section 2.
⟦s001084⟧ 7 above shall be reduced as a result of the application of prepayments in accordance with the order of priority set forth in Section 2.
⟦s001085⟧ 5 .
⟦s001086⟧ 2.
⟦s001087⟧ 8 Interest .
⟦s001088⟧ (a) Subject to the provisions of Section 2.
⟦s001089⟧ 8(b) below, (i) each SOFR Loan shall bear interest on the outstanding principal amount thereof for each Interest Period at a rate per annum equal to Term SOFR for such Interest Period plus the Applicable Margin for SOFR Loans; and (ii) each Base Rate Loan shall bear interest on the outstanding principal amount thereof from the applicable borrowing date at a rate per annum equal to the Base Rate plus the Applicable Margin for Base Rate Loans.
⟦s001090⟧ (b) If any Event of Default exists, then the Agent may, and upon the request of the Required Lenders shall, notify the Borrower that all outstanding Obligations shall thereafter bear interest at a fluctuating interest rate per annum at all times equal to the Default Rate and thereafter (for so long as such Event of Default is continuing) such Obligations shall bear interest at the Default Rate to the fullest extent permitted by Law; provided, that, upon the occurrence of an Event of Default under Sections 8.
⟦s001091⟧ 1(a) or (f) the Default Rate shall apply automatically.
⟦s001092⟧ Accrued and unpaid interest on past due amounts (including interest on past due interest) shall be due and payable upon demand.
⟦s001093⟧ - 59 -
⟦s001094⟧ (c) Except as provided in Section 2.
⟦s001095⟧ 8(b) , interest on each Loan shall be due and payable in arrears in cash on each Interest Payment Date applicable thereto and at such other times as may be specified herein.
⟦s001096⟧ Interest hereunder shall be due and payable in accordance with the terms hereof before and after judgment, and before and after the commencement of any proceeding under any Debtor Relief Law.
⟦s001097⟧ 2.
⟦s001098⟧ 9 Fees .
⟦s001099⟧ (a) Upfront Fee .

===== seg23 | Article II – The Commitments and Credit Extensions (core definitions and borrowing mechanics) | range s001100–s001149 | score=0.5 =====
Rationale: Provides core definitions and borrowing mechanics that underpin the pricing framework (e.g., margins and rate concepts are present in global keywords) but does not present the actual pricing formulas, tiers, or benchmark adjustment logic.
Summary: Core definitions for Borrowings, Conversions, and Continuations within the Commitments and Credit Extensions.
Tags: Borrowings, Conversions, Continuations

⟦s001100⟧ The Borrower shall pay to the Agent an upfront fee in Dollars on the Closing Date in an amount equal to 3.
⟦s001101⟧ 00% of the principal amount of the Term Loans for the account of each Lender.
⟦s001102⟧ (b) Other Fees .
⟦s001103⟧ The Borrower shall pay to the Agent for their own respective accounts fees in the amounts and at the times specified in the Fee Letter.
⟦s001104⟧ Such fees shall be fully earned when paid and shall not be refundable for any reason whatsoever.
⟦s001105⟧ 2.
⟦s001106⟧ 10 Computation of Interest .
⟦s001107⟧ All computations of interest for Base Rate Loans when the Base Rate is determined by the Prime Rate shall be made on the basis of a year of 365 or 366 days, as the case may be, and actual days elapsed.
⟦s001108⟧ All other computations of fees and interest shall be made on the basis of a 360-day year and actual days elapsed (which results in more fees or interest, as applicable, being paid than if computed on the basis of a 365-day year).
⟦s001109⟧ Interest shall accrue on the Loan for the day on which the Loan is made, and shall not accrue on a Loan, or any portion thereof, for the day on which the Loan or such portion is paid, provided that any Loan that is repaid on the same day on which it is made shall, subject to Section 2.
⟦s001110⟧ 12(a) , bear interest for one day.
⟦s001111⟧ Each determination by the Agent of an interest rate hereunder shall be conclusive and binding for all purposes, absent manifest error.
⟦s001112⟧ 2.
⟦s001113⟧ 11 Evidence of Debt .
⟦s001114⟧ The Loans made by each Lender shall be evidenced by one or more accounts or records maintained by the Agent in the ordinary course of business.
⟦s001115⟧ In addition, each Lender may record in such Lender’s internal records, an appropriate notation evidencing the date and amount of each Loan from such Lender, each payment and prepayment of principal of any such Loan, and each payment of interest, fees and other amounts due in connection with the Obligations due to such Lender.
⟦s001116⟧ The accounts or records maintained by the Agent and each Lender shall be conclusive absent manifest error of the amount of the Loans made by the Lenders to the Borrower and the interest and payments thereon.
⟦s001117⟧ Any failure to so record or any error in doing so shall not, however, limit or otherwise affect the obligation of the Borrower hereunder to pay any amount owing with respect to the Obligations.
⟦s001118⟧ In the event of any conflict between the accounts and records maintained by any Lender and the accounts and records of the Agent in respect of such matters, the accounts and records of the Agent shall control in the absence of manifest error.
⟦s001119⟧ Upon the request of any Lender made through the Agent, the Borrower shall execute and deliver to such Lender (through the Agent) a Note, which shall evidence such Lender’s Loans in addition to such accounts or records.
⟦s001120⟧ Each Lender may attach schedules to its Note and endorse thereon the date, Type (if applicable), amount and maturity of its Loans and payments with respect thereto.
⟦s001121⟧ Upon receipt of an affidavit of a Lender as to the loss, theft, destruction or mutilation of such Lender’s Note and upon cancellation of such Note, the Borrower will issue, in lieu thereof, a replacement Note in favor of such Lender, in the same principal amount thereof and otherwise of like tenor.
⟦s001122⟧ 2.
⟦s001123⟧ 12 Payments Generally; Agent’s Clawback .
⟦s001124⟧ (a) General .
⟦s001125⟧ All payments to be made by the Borrower shall be made without deduction for any counterclaim, defense, recoupment or setoff.
⟦s001126⟧ Except as otherwise expressly provided herein, all payments by the Borrower hereunder shall be made to the Agent, for the account of the respective Lenders to which such payment is owed, at the Agent’s Office in Dollars and in immediately available
⟦s001127⟧ - 60 -
⟦s001128⟧ funds not later than 2:00 p.m.
⟦s001129⟧ on the date specified herein.
⟦s001130⟧ The Agent will promptly distribute to each Lender its Applicable Percentage (or other applicable share as provided herein) of such payment in Dollars by wire transfer to such Lender’s Lending Office.
⟦s001131⟧ All payments received by the Agent after 2:00 p.m.
⟦s001132⟧ shall, at the option of the Agent, be deemed received on the next succeeding Business Day and any applicable interest or fee shall continue to accrue.
⟦s001133⟧ If any payment to be made by the Borrower shall come due on a day other than a Business Day, payment shall be made on the next following Business Day (other than with respect to payment of a SOFR Loan), and such extension of time shall be reflected in computing interest or fees, as the case may be.
⟦s001134⟧ (b) Funding by Lenders; Presumption by Agent .
⟦s001135⟧ (i) Unless the Agent shall have received notice from a Lender prior to the proposed date of any Borrowing of the Loan that such Lender will not make available to the Agent such Lender’s share of such Borrowing, the Agent may assume that such Lender has made such share available on such date in accordance with Section 2.
⟦s001136⟧ 2 (or in the case of a Borrowing of Base Rate Loans, that such Lender has made such share available in accordance with and at the time required by Section 2.
⟦s001137⟧ 2 ) and may, in reliance upon such assumption, make available to the Borrower a corresponding amount.
⟦s001138⟧ In such event, if a Lender has not in fact made its share of the applicable Borrowing available to the Agent, then the applicable Lender and the Borrower severally agree to pay to the Agent forthwith on demand such corresponding amount in immediately available funds with interest thereon, for each day from and including the date such amount is made available to the Borrower to but excluding the date of payment to the Agent, at (A) in the case of a payment to be made by such Lender, the greater of the Federal Funds Rate and a rate determined by the Agent in accordance with banking industry rules on interbank compensation plus any administrative processing or similar fees customarily charged by the Agent in connection with the foregoing, and (B) in the case of a payment to be made by the Borrower, the interest rate applicable to Base Rate Loans.
⟦s001139⟧ If the Borrower and such Lender shall pay such interest to the Agent for the same or an overlapping period, the Agent shall promptly remit to the Borrower the amount of such interest paid by the Borrower for such period.
⟦s001140⟧ If such Lender pays its share of the applicable Borrowing to the Agent, then the amount so paid shall constitute such Lender’s Loan included in such Borrowing.
⟦s001141⟧ Any payment by the Borrower shall be without prejudice to any claim the Borrower may have against a Lender that shall have failed to make such payment to the Agent.
⟦s001142⟧ (ii) Payments by Borrower; Presumptions by Agent .
⟦s001143⟧ Unless the Agent shall have received notice from the Borrower prior to the time at which any payment is due to the Agent for the account of any of the Lenders hereunder that the Borrower will not make such payment, the Agent may assume that the Borrower has made such payment on such date in accordance herewith and may, in reliance upon such assumption, distribute to the Lenders the amount due.
⟦s001144⟧ In such event, if the Borrower has not in fact made such payment, then each of the Lenders severally agrees to repay to the Agent forthwith on demand the amount so distributed to such Lender, in immediately available funds with interest thereon, for each day from and including the date such amount is distributed to it to but excluding the date of payment to the Agent, at the greater of the Federal Funds Rate and a rate determined by the Agent in accordance with banking industry rules on interbank compensation.
⟦s001145⟧ A notice of the Agent to any Lender or the Borrower with respect to any amount owing under this subsection (b) shall be conclusive, absent manifest error.
⟦s001146⟧ (c) Failure to Satisfy Conditions Precedent .
⟦s001147⟧ If any Lender makes available to the Agent funds for any Loan to be made by such Lender as provided in the foregoing provisions of this Article II , and such funds are not made available to the Borrower by the Agent because the conditions to the Loan set forth in Article IV are not satisfied or waived in accordance with the terms hereof (subject to the provisions of the last paragraph of Section 4.
⟦s001148⟧ 1 hereof), the Agent shall return such funds (in like funds as received from such Lender) to such Lender, without interest.
⟦s001149⟧ - 61 -

===== seg24 | Financial covenants – Pro forma and measurement framework | range s001150–s001199 | score=0.5 =====
Rationale: Provides covenants/measurement context that informs pricing interpretation (e.g., leverage concepts, benchmark transition) but does not lay out the exact pricing mechanics.
Summary: Pro forma basis concepts and measurement philosophy underpinning covenants.
Tags: Pro Forma Basis, Measurement Period, Pro Forma Effect

⟦s001150⟧ (d) Obligations of Lenders Several .
⟦s001151⟧ The obligations of the Lenders hereunder to make Loans and to make payments hereunder are several and not joint.
⟦s001152⟧ The failure of any Lender to make any Loan or to make any payment hereunder on any date required hereunder shall not relieve any other Lender of its corresponding obligation to do so on such date, and no Lender shall be responsible for the failure of any other Lender to so make its Loan or to make its payment hereunder.
⟦s001153⟧ (e) Funding Source .
⟦s001154⟧ Nothing herein shall be deemed to obligate any Lender to obtain the funds for any Loan in any particular place or manner or to constitute a representation by any Lender that it has obtained or will obtain the funds for any Loan in any particular place or manner.
⟦s001155⟧ 2.
⟦s001156⟧ 13 Sharing of Payments by Lenders .
⟦s001157⟧ If any Lender shall, by exercising any right of setoff or counterclaim or otherwise, obtain payment in respect of any principal of, interest on, or other amounts with respect to, any of the Obligations resulting in such Lender’s receiving payment of a proportion of the aggregate amount of such Obligations greater than its pro rata share thereof as provided herein (including as in contravention of the priorities of payment set forth in Section 8.
⟦s001158⟧ 3 ), then the Lender receiving such greater proportion shall (a) notify the Agent of such fact, and (b) purchase (for cash at face value) participations in the Obligations of the other Lenders, or make such other adjustments as shall be equitable, so that the benefit of all such payments shall be shared by the Lenders ratably and in the priorities set forth in Section 8.
⟦s001159⟧ 3 , provided that:
⟦s001160⟧ (a) if any such participations or subparticipations are purchased and all or any portion of the payment giving rise thereto is recovered, such participations or subparticipations shall be rescinded and the purchase price restored to the extent of such recovery, without interest; and
⟦s001161⟧ (b) the provisions of this Section shall not be construed to apply to (x) any payment made by the Loan Parties pursuant to and in accordance with the express terms of this Agreement (including the application of funds arising from the existence of a Defaulting Lender) or (y) any payment obtained by a Lender as consideration for the assignment of or sale of a participation in any of its Loans to any assignee or participant, other than to the Borrower or any Restricted Subsidiary thereof (as to which the provisions of this Section shall apply unless such assignment has been approved by the Required Lenders).
⟦s001162⟧ Each Loan Party consents to the foregoing and agrees, to the extent it may effectively do so under Law, that any Lender acquiring a participation pursuant to the foregoing arrangements may exercise against such Loan Party rights of setoff and counterclaim with respect to such participation as fully as if such Lender were a direct creditor of such Loan Party in the amount of such participation.
⟦s001163⟧ 2.
⟦s001164⟧ 14 Benchmark Replacement .
⟦s001165⟧ (a) Benchmark Replacement .
⟦s001166⟧ Notwithstanding anything to the contrary herein or in any other Loan Document, upon the occurrence of a Benchmark Transition Event and its related Benchmark Replacement Date prior to any setting of the then-current Benchmark, then (x) if a Benchmark Replacement is determined in accordance with clause (a) of the definition of “Benchmark Replacement” for such Benchmark Replacement Date, such Benchmark Replacement will replace such Benchmark for all purposes hereunder and under any Loan Document in respect of such Benchmark setting and subsequent Benchmark settings without any amendment to, or further action or consent of any other party to, this Agreement or any other Loan Document and (y) if a Benchmark Replacement is determined in accordance with clause (b) of the definition of “Benchmark Replacement” for such Benchmark Replacement Date, such Benchmark Replacement will replace such Benchmark for all purposes hereunder and under any Loan Document in respect of any Benchmark setting at or after 5:00 p.m.
⟦s001167⟧ (New York City time) on the fifth (5th) Business Day after the date notice of such Benchmark Replacement is provided to the Lenders without any amendment to, or further action or consent of any other party to, this Agreement or any other Loan
⟦s001168⟧ - 62 -
⟦s001169⟧ Document so long as the Agent has not received, by such time, written notice of objection to such Benchmark Replacement from Lenders comprising the Required Lenders.
⟦s001170⟧ If the Benchmark Replacement is Daily Simple SOFR, all interest payments will be made on a monthly basis.
⟦s001171⟧ (b) Conforming Changes .
⟦s001172⟧ In connection with the use, administration, adoption or implementation of a Benchmark Replacement, the Agent will have the right to make Conforming Changes, in consultation with the Borrower (provided that the Agent’s decision shall be conclusive), from time to time and, notwithstanding anything to the contrary herein or in any other Loan Document, any amendments implementing such Conforming Changes will become effective without any further action or consent of any other party to this Agreement or any other Loan Document.
⟦s001173⟧ (c) Notices; Standards for Decisions and Determinations .
⟦s001174⟧ The Agent will promptly notify the Borrower and the Lenders of (i) the implementation of any Benchmark Replacement and (ii) the effectiveness of any Conforming Changes in connection with the use, administration, adoption or implementation of a Benchmark Replacement.
⟦s001175⟧ The Agent will promptly notify the Borrower of the removal and reinstatement of any tenor of a Benchmark pursuant to Section 2.
⟦s001176⟧ 14(e) below.
⟦s001177⟧ Any determination, decision or election that may be made by the Agent pursuant to this Section 2.
⟦s001178⟧ 14 , including any determination with respect to a tenor, rate or adjustment or of the occurrence or non-occurrence of an event, circumstance or date and any decision to take or refrain from taking any action, will be conclusive and binding absent manifest error and may be made in its or their sole discretion and without consent from any other party hereto, except, in each case, as expressly required pursuant to this Section 2.
⟦s001179⟧ 14 .
⟦s001180⟧ (d) Benchmark Unavailability Period .
⟦s001181⟧ Upon the Borrower’s receipt of notice of the commencement of a Benchmark Unavailability Period, the Borrower may revoke any request for a SOFR Borrowing of, conversion to or continuation of SOFR Loans to be made, converted or continued during any Benchmark Unavailability Period and, failing that, the Borrower will be deemed to have converted any such request into a request for a Borrowing of or conversion to Base Rate Loans.
⟦s001182⟧ Any conversion of SOFR Loans to Base Rate Loans required by the preceding sentence shall be subject to Section 3.
⟦s001183⟧ 5 .
⟦s001184⟧ During any Benchmark Unavailability Period or at any time that a tenor for the then-current Benchmark is not an Available Tenor, the component of the Base Rate based upon the then-current Benchmark or such tenor for such Benchmark, as applicable, will not be used in any determination of the Base Rate.
⟦s001185⟧ (e) Unavailability of Tenor of Benchmark .
⟦s001186⟧ Notwithstanding anything to the contrary herein or in any other Loan Document, at any time (including in connection with the implementation of a Benchmark Replacement), (i) if the then-current Benchmark is a term rate (including the Term SOFR Reference Rate) and either (A) any tenor for such Benchmark is not displayed on a screen or other information service that publishes such rate from time to time as selected by the Agent in its reasonable discretion or (B) the administration of such Benchmark or the regulatory supervisor for the administrator of such Benchmark has provided a public statement or publication of information announcing that any tenor for such Benchmark is or will be no longer representative or in compliance with or aligned with the International Organization of Securities Commissions (IOSCO) Principles for Financial Benchmarks, then the Agent may modify the definition of “Interest Period” (or any similar or analogous definition) for any Benchmark settings at or after such time to remove such unavailable or non-representative, non-compliant or non-aligned tenor and (ii) if a tenor that was removed pursuant to clause (i) above either (A) is subsequently displayed on a screen or information service for a Benchmark (including a Benchmark Replacement) or (B) is not, or is no longer, subject to an announcement that it is or will no longer be representative or in compliance with or aligned with the International Organization of Securities Commissions (IOSCO) Principles for Financial Benchmarks for a Benchmark (including a Benchmark Replacement), then the Agent may modify the definition of “Interest Period” (or any similar or analogous definition) for all Benchmark settings at or after such time to reinstate such previously removed tenor.
⟦s001187⟧ - 63 -
⟦s001188⟧ 2.
⟦s001189⟧ 15 Defaulting Lenders .
⟦s001190⟧ (a) Adjustments .
⟦s001191⟧ Notwithstanding anything to the contrary contained in this Agreement, if any Lender becomes a Defaulting Lender, then, until such time as that Lender is no longer a Defaulting Lender, to the extent permitted by applicable Law:
⟦s001192⟧ (i) Waivers and Amendments .
⟦s001193⟧ That Defaulting Lender’s right to approve or disapprove any amendment, waiver or consent with respect to this Agreement shall be restricted as set forth in the definition of “Required Lenders” and Section 10.
⟦s001194⟧ 1 .
⟦s001195⟧ (ii) Reallocation of Payments .
⟦s001196⟧ Any payment of principal, interest, fees or other amounts received by the Agent for the account of that Defaulting Lender (whether voluntary or mandatory, at maturity, pursuant to Article VIII or otherwise, and including any amounts made available to the Agent by that Defaulting Lender pursuant to Section 10.
⟦s001197⟧ 9 ), shall be applied at such time or times as may be determined by the Agent as follows: first , to the payment of any amounts owing by that Defaulting Lender to the Agent hereunder; second , as the Borrower may request (so long as no Default or Event of Default exists), to the funding of any Loan in respect of which that Defaulting Lender has failed to fund its portion thereof as required by this Agreement, as determined by the Agent; third , if so determined by the Agent and the Borrower, to be held in a non-interest bearing deposit account and released in order to satisfy such Defaulting Lender’s potential future funding with respect to Loans under this Agreement; fourth , so long as no Default or Event of Default exists, to the payment of any amounts owing to the Borrower as a result of any judgment of a court of competent jurisdiction obtained by the Borrower against that Defaulting Lender as a result of that Defaulting Lender’s breach of its obligations under this Agreement; and fifth , to that Defaulting Lender or as otherwise directed by a court of competent jurisdiction; provided that if (x) such payment is a payment of the principal amount of any Loans in respect of which that Defaulting Lender has not fully funded its appropriate share and (y) such Loans were made at a time when the conditions set forth in Article IV were satisfied or waived, such payment shall be applied solely to pay the Loans of all Non-Defaulting Lenders on a non-pro rata basis prior to being applied to the payment of any Loans of that Defaulting Lender until such time as all Loans are held by the Lenders pro rata in accordance with the Commitments.
⟦s001198⟧ Any payments, prepayments or other amounts paid or payable to a Defaulting Lender that are applied (or held) to pay amounts owed by a Defaulting Lender pursuant to this Section 2.
⟦s001199⟧ 15(a)(ii) shall be deemed paid to and redirected by that Defaulting Lender, and each Lender irrevocably consents hereto.

===== seg25 | Permitted Investments and Real Estate covenants framing | range s001200–s001249 | score=0.5 =====
Rationale: Offers covenants/definitions that are necessary to interpret pricing terms (e.g., leverage, liquidity checks) but does not itself specify the pricing formulas or margins.
Summary: Definitions around Permitted Investments, Permitted Encumbrances, and Real Estate covenants.
Tags: Permitted Investments, Encumbrances, Real Estate

⟦s001200⟧ (iii) Responsibility .
⟦s001201⟧ The failure of any Defaulting Lender to fund any purchase of any participation to be made or funded by it, or to make any payment required by it under any Loan Document on the date specified therefor shall not relieve any other Lender of its obligations to make such loan, fund the purchase of any such participation, or make any other such required payment on such date, and neither Agent nor, other than as expressly set forth herein, any other Lender shall be responsible for the failure of any Defaulting Lender to make a loan, fund the purchase of a participation or make any other required payment under any Loan Document.
⟦s001202⟧ (b) Defaulting Lender Cure .
⟦s001203⟧ Once the Defaulting Lender has cured such default in a manner reasonably satisfactory to the Agent and the Borrower, the Agent will so notify the parties hereto, whereupon as of the effective date specified in such notice and subject to any conditions set forth therein, that Lender will, to the extent applicable, purchase that portion of outstanding Loans of the other Lenders or take such other actions as the Agent may determine to be necessary to cause the Loans to be held on a pro rata basis by the Lenders in accordance with their Commitments, whereupon that Lender will cease to be a Defaulting Lender; provided that no adjustments will be made retroactively with respect to fees accrued or payments made by or on behalf of the Borrower while that Lender was a Defaulting Lender; and provided, further, that except to the extent otherwise expressly agreed by the affected parties, no change
⟦s001204⟧ - 64 -
⟦s001205⟧ hereunder from Defaulting Lender to a Lender that is not a Defaulting Lender will constitute a waiver or release of any claim of any party hereunder arising from that Lender’s having been a Defaulting Lender.
⟦s001206⟧ Article III Taxes, Yield Protection and Illegality
⟦s001207⟧ 3.
⟦s001208⟧ 1 Taxes .
⟦s001209⟧ (a) Payments Free of Taxes; Obligation to Withhold; Payments on Account of Taxes .
⟦s001210⟧ (i) Any and all payments by or on account of any obligation of any Loan Party under any Loan Document shall be made without deduction or withholding for any Taxes, except as required by applicable Laws.
⟦s001211⟧ If any applicable Laws (as determined in the good faith discretion of the Agent or Loan Party, as applicable) require the deduction or withholding of any Tax from any such payment by the Agent or a Loan Party, then the Agent or such Loan Party shall be entitled to make such deduction or withholding, upon the basis of the information and documentation to be delivered pursuant to subsection (e) below.
⟦s001212⟧ (ii) If any Loan Party or the Agent shall be required by any applicable Laws to withhold or deduct any Taxes from any payment, then (A) such Loan Party or the Agent, as required by such Laws, shall withhold or make such deductions as are determined by it to be required based upon the information and documentation it has received pursuant to subsection (e) below, (B) such Loan Party or the Agent, to the extent required by such Laws, shall timely pay the full amount withheld or deducted to the relevant Governmental Authority in accordance with such Laws, and (C) to the extent that the withholding or deduction is made on account of Indemnified Taxes, the sum payable by the applicable Loan Party shall be increased as necessary so that after any required withholding or the making of all required deductions (including deductions applicable to additional sums payable under this Section 3.
⟦s001213⟧ 1 ) the applicable Recipient receives an amount equal to the sum it would have received had no such withholding or deduction been made.
⟦s001214⟧ (b) Payment of Other Taxes by the Borrower .
⟦s001215⟧ Without limitation or duplication of the provisions of subsection (a) above, the Borrower shall timely pay to the relevant Governmental Authority in accordance with applicable Law, or at the option of the Agent timely reimburse it for the payment of, any Other Taxes.
⟦s001216⟧ (c) Tax Indemnifications .
⟦s001217⟧ (i) The Loan Parties shall, and each Loan Party does hereby, jointly and severally indemnify each Recipient, and shall make payment in respect thereof within 10 days after demand therefor, for the full amount of any Indemnified Taxes (including Indemnified Taxes imposed or asserted on or attributable to amounts payable under this Section 3.
⟦s001218⟧ 1 ) payable or paid by such Recipient or required to be withheld or deducted from a payment to such Recipient, and any penalties, interest and reasonable expenses arising therefrom or with respect thereto, whether or not such Indemnified Taxes were correctly or legally imposed or asserted by the relevant Governmental Authority.
⟦s001219⟧ A certificate as to the amount of such payment or liability delivered to the Borrower by a Lender (with a copy to the Agent), or by the Agent on its own behalf or on behalf of a Lender, shall be conclusive absent manifest error.
⟦s001220⟧ (ii) Each Lender shall, and does hereby, severally indemnify, and shall make payment in respect thereof within 10 days after demand therefor, (x) the Agent against any Indemnified Taxes attributable to such Lender (but only to the extent that any Loan Party has not already indemnified the Agent for such Taxes that are Indemnified Taxes and without limiting the obligation of the Loan Parties
⟦s001221⟧ - 65 -
⟦s001222⟧ to do so), (y) the Agent against any Taxes attributable to such Lender’s failure to comply with the provisions of Section 10.
